,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
344,0,0,3.7,61,4,20,2996,308,600,3641,5004,4,1
345,1,0,3.8,155,54,20,3686,1571,400,9030,4145,4,1
346,1,0,3.9,233,30,20,1724,1003,800,8829,872,4,1
347,1,0,3.7,264,54,20,2440,1208,750,1600,3503,4,1
348,0,0,4.1,238,4,62,2763,1543,600,7606,5004,4,1
349,1,0,4.1,176,4,20,448,67,800,11794,3276,4,1
350,1,0,3.7,93,4,62,2793,1624,200,894,1717,4,1
351,0,0,3.8,124,4,62,2787,1570,300,7662,5004,4,1
352,1,0,4.3,275,4,62,2471,1543,100,11088,5004,4,1
353,0,0,4.2,254,4,62,2765,1543,150,5449,5004,4,1
354,0,0,4.1,177,4,62,2016,1543,100,8679,5004,4,1
355,1,0,4.0,132,4,62,4481,815,200,8735,5004,4,1
356,1,0,3.8,74,4,62,1651,1585,300,6819,4369,4,1
357,1,0,3.6,172,79,20,257,1192,700,7050,5004,4,1
358,1,0,3.9,543,4,62,2421,1567,300,5428,5004,4,1
359,0,0,4.0,52,4,62,1634,1543,300,5639,5004,4,1
360,0,0,3.7,217,4,20,835,1277,450,9336,5004,4,1
361,0,0,3.9,111,4,20,2957,1254,700,7386,5004,4,1
362,1,0,3.8,133,4,62,1780,1632,200,8778,4500,4,1
363,0,0,3.8,39,30,62,2740,1583,250,9415,5004,4,1
364,0,0,4.0,64,4,62,799,1543,200,11137,5004,4,1
365,0,0,3.8,148,4,62,4419,871,150,7467,5004,4,1
366,0,0,3.8,55,75,44,333,593,300,5417,5004,4,1
367,0,1,3.8,977,1,46,181,876,1300,7664,5004,5,1
368,0,0,4.1,868,1,57,230,702,1200,12188,5004,5,1
369,0,0,3.3,62,1,4,1260,1585,800,13916,5004,5,1
370,0,0,3.0,98,1,4,3363,1192,800,3636,5004,5,1
371,0,0,2.7,377,4,57,4825,1288,1100,8216,5004,5,1
372,1,1,4.4,2487,3,57,2140,1339,900,10800,5004,0,2
373,1,1,4.2,1964,3,20,2678,86,1000,6041,451,0,2
374,1,0,4.3,3178,3,20,1205,1398,750,11756,2867,0,2
375,1,0,3.3,455,3,20,1916,49,550,1372,2387,0,2
376,0,1,4.7,3845,28,20,2630,1321,1600,12523,5004,0,2
377,0,0,4.3,353,28,20,3241,1412,1200,12463,5004,0,2
378,0,1,4.1,1234,28,20,826,1419,800,11757,5004,0,2
379,1,1,4.1,1538,28,20,2331,163,1000,10444,1364,0,2
380,1,1,3.8,756,28,20,2576,1152,1000,9109,5004,0,2
381,1,1,4.0,347,28,20,4723,1291,1000,4515,5004,0,2
382,0,1,4.0,165,28,20,2116,1588,1000,3561,5004,0,2
383,0,0,3.3,177,28,20,847,1218,950,12253,5004,0,2
384,1,0,3.0,102,0,20,4813,1585,600,2596,2774,0,2
385,0,1,4.0,200,3,13,2858,381,700,8567,5004,1,2
386,1,0,3.9,102,3,13,693,350,450,13047,4821,1,2
387,1,0,3.7,171,3,13,1578,330,300,1352,1163,1,2
388,1,0,3.7,37,3,13,4894,357,400,4547,2903,1,2
389,1,0,3.9,40,3,41,5043,440,400,2686,610,1,2
390,0,0,3.9,125,3,13,4272,444,500,1791,5004,1,2
391,1,0,3.9,49,3,13,1947,330,600,4546,1760,1,2
392,0,0,3.8,69,3,14,1620,348,700,4655,5004,1,2
393,0,0,3.9,78,3,13,445,330,350,2625,5004,1,2
394,1,0,2.7,48,3,65,4896,547,650,1097,3372,1,2
395,1,0,4.1,46,28,13,3640,500,600,10340,4531,1,2
396,0,0,4.0,129,28,13,2801,381,600,11914,5004,1,2
397,1,1,3.9,727,28,13,1677,414,800,2576,386,1,2
398,0,0,4.1,521,28,13,3885,402,550,2411,5004,1,2
399,1,0,4.1,203,28,65,602,364,650,8380,304,1,2
400,1,1,4.4,4381,28,22,960,1464,600,1917,2223,1,2
401,1,0,3.7,131,28,13,3921,502,400,1380,2710,1,2
402,1,0,3.7,46,28,13,2011,316,450,2714,4842,1,2
403,0,0,3.4,48,28,13,1684,434,550,4762,5004,1,2
404,1,0,3.7,127,28,13,3842,465,700,899,501,1,2
405,1,0,2.7,85,28,13,3816,494,500,378,3062,1,2
406,1,0,3.7,335,0,20,1905,64,800,8740,5004,2,2
407,1,0,3.8,254,0,20,2980,280,800,13190,2435,2,2
408,1,0,4.1,63,28,72,4382,867,300,110,2193,2,2
409,1,0,4.0,244,0,62,3994,200,400,7952,5004,2,2
